code,county
1,ADAMS
3,ALLEN
5,ASHLAND
7,ASHTABULA
9,ATHENS
11,AUGLAIZE
13,BELMONT
15,BROWN
17,BUTLER
19,CARROLL
21,CHAMPAIGN
23,CLARK
25,CLERMONT
27,CLINTON
29,COLUMBIANA
31,COSHOCTON
33,CRAWFORD
35,CUYAHOGA
37,DARKE
39,DEFIANCE
41,DELAWARE
43,ERIE
45,FAIRFIELD
47,FAYETTE
49,FRANKLIN
51,FULTON
53,GALLIA
55,GEAUGA
57,GREENE
59,GUERNSEY
61,HAMILTON
63,HANCOCK
65,HARDIN
67,HARRISON
69,HENRY
71,HIGHLAND
73,HOCKING
75,HOLMES
77,HURON
79,JACKSON
81,JEFFERSON
83,KNOX
85,LAKE
87,LAWRENCE
89,LICKING
91,LOGAN
93,LORAIN
95,LUCAS
97,MADISON
99,MAHONING
101,MARION
103,MEDINA
105,MEIGS
107,MERCER
109,MIAMI
111,MONROE
113,MONTGOMERY
115,MORGAN
117,MORROW
119,MUSKINGUM
121,NOBLE
123,OTTAWA
125,PAULDING
127,PERRY
129,PICKAWAY
131,PIKE
133,PORTAGE
135,PREBLE
137,PUTNAM
139,RICHLAND
141,ROSS
143,SANDUSKY
145,SCIOTO
147,SENECA
149,SHELBY
151,STARK
153,SUMMIT
155,TRUMBULL
157,TUSCARAWAS
159,UNION
161,VAN WERT
163,VINTON
165,WARREN
167,WASHINGTON
169,WAYNE
171,WILLIAMS
173,WOOD
175,WYANDOT
